Algoritmo,Tamanho,Media,Linguagem
Bubblesort,1,.00000580000000000000,C
Bubblesort,10,.00000850000000000000,C
Bubblesort,100,.00016370000000000000,C
Bubblesort,1000,.01105110000000000000,C
Bubblesort,10000,.70079570000000000000,C
Bubblesort,100000,70.41701809999999999989,C
